title,author,average_rate,genre,summary,link,year,category
The Pale King,David Foster Wallace,3.97,Fiction,"The agents at the IRS Regional Examination Center in Peoria, Illinois, appear ordinary enough to newly arrived trainee David Foster Wallace. But as he immerses himself in a routine so tedious and repetitive that new employees receive boredom-survival training, he learns of the extraordinary variety of personalities drawn to this strange calling. And he has arrived at a moment when forces within the IRS are plotting to eliminate even what little humanity and dignity the work still has.The Pale Kingremained unfinished at the time of David Foster Wallace's death, but it is a deeply compelling and satisfying novel, hilarious and fearless and as original as anything Wallace ever undertook. It grapples directly with ultimate questions--questions of life's meaning and of the value of work and society--through characters imagined with the interior force and generosity that were Wallace's unique gifts. Along the way it suggests a new idea of heroism and commands infinite respect for one of the most daring writers of our time.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,fiction
The Submission,Amy Waldman,3.67,Fiction,"Ten years after 9/11, a dazzling, kaleidoscopic novel reimagines its aftermath and wonders what would happen if a Muslim-American was blindly chosen to plan the World Trade Center Memorial.Claire Harwell hasn't settled into grief; events haven't let her. Cool, eloquent, raising two fatherless children, Claire has emerged as the most visible of the widows who became a potent political force in the aftermath of the catastrophe. She longs for her husband, but she has found her mission: she sits on a jury charged with selecting a fitting memorial for the victims of the attack.Of the thousands of anonymous submissions that she and her fellow jurors examine, one transfixes Claire: a garden on whose walls the names of the dead are inscribed. But when the winning envelope is opened, they find the designer is Mohammad Khan - Mo - an enigmatic Muslim-American who, it seems, feels no need to represent anyone's beliefs except his own. When the design and its creator are leaked, a media firestorm erupts, and Claire finds herself trying to balance principles against emotions amid escalating tensions about the place of Islam in America.A remarkably bold and ambitious debut, The Submission is peopled with journalists, activists, mourners, and bureaucrats who struggle for advantage and fight for their ideals. In this deeply humane novel, the breadth of Amy Waldman's cast of characters is matched by her startling ability to conjure individual lives from their own points of view. A striking portrait of a city - and a country - fractured by old hatreds and new struggles, The Submission is a major novel by an important new talent.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,fiction
Maine,J. Courtney Sullivan,3.39,Fiction,"In her best-selling debut, Commencement, J. Courtney Sullivan explored the complicated and contradictory landscape of female friendship. Now, in her highly anticipated second novel, Sullivan takes us into even richer territory, introducing four unforgettable women who have nothing in common but the fact that, like it or not, they’re family.For the Kellehers, Maine is a place where children run in packs, showers are taken outdoors, and old Irish songs are sung around a piano. Their beachfront property, won on a barroom bet after the war, sits on three acres of sand and pine nestled between stretches of rocky coast, with one tree bearing the initials “A.H.” At the cottage, built by Kelleher hands, cocktail hour follows morning mass, nosy grandchildren snoop in drawers, and decades-old grudges simmer beneath the surface.As three generations of Kelleher women descend on the property one summer, each brings her own hopes and fears. Maggie is thirty-two and pregnant, waiting for the perfect moment to tell her imperfect boyfriend the news; Ann Marie, a Kelleher by marriage, is channeling her domestic frustration into a dollhouse obsession and an ill-advised crush; Kathleen, the black sheep, never wanted to set foot in the cottage again; and Alice, the matriarch at the center of it all, would trade every floorboard for a chance to undo the events of one night, long ago.By turns wickedly funny and achingly sad, Maine unveils the sibling rivalry, alcoholism, social climbing, and Catholic guilt at the center of one family, along with the abiding, often irrational love that keeps them coming back, every summer, to Maine and to each other.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,fiction
The Leftovers,Tom Perrotta,3.43,Fiction,"What if — whoosh, right now, with no explanation — a number of us simply vanished? Would some of us collapse? Would others of us go on, one foot in front of the other, as we did before the world turned upside down? That's what the bewildered citizens of Mapleton, who lost many of their neighbors, friends and lovers in the event known as the Sudden Departure, have to figure out. Because nothing has been the same since it happened — not marriages, not friendships, not even the relationships between parents and children.Kevin Garvey, Mapleton's new mayor, wants to speed up the healing process, to bring a sense of renewed hope and purpose to his traumatized community. Kevin's own family has fallen apart in the wake of the disaster: his wife, Laurie, has left to join the Guilty Remnant, a homegrown cult whose members take a vow of silence; his son, Tom, is gone, too, dropping out of college to follow a sketchy prophet named Holy Wayne. Only Kevin's teenaged daughter, Jill, remains, and she's definitely not the sweet ""A"" student she used to be. Kevin wants to help her, but he's distracted by his growing relationship with Nora Durst, a woman who lost her entire family on October 14th and is still reeling from the tragedy, even as she struggles to move beyond it and make a new start.With heart, intelligence and a rare ability to illuminate the struggles inherent in ordinary lives, Tom Perrotta has written a startling, thought-provoking novel about love, connection and loss.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,fiction
Swamplandia!,Karen Russell,3.27,Fiction,"From the celebrated twenty-nine-year-old author of the everywhere-heralded short-story collection St. Lucy’s Home for Girls Raised by Wolves comes a blazingly original debut novel that takes us back to the swamps of the Florida Everglades, and introduces us to Ava Bigtree, an unforgettable young heroine.The Bigtree alligator-wrestling dynasty is in decline, and Swamplandia!, their island home and gator-wrestling theme park, formerly #1 in the region, is swiftly being encroached upon by a fearsome and sophisticated competitor called the World of Darkness. Ava’s mother, the park’s indomitable headliner, has just died; her sister, Ossie, has fallen in love with a spooky character known as the Dredgeman, who may or may not be an actual ghost; and her brilliant big brother, Kiwi, who dreams of becoming a scholar, has just defected to the World of Darkness in a last-ditch effort to keep their family business from going under. Ava’s father, affectionately known as Chief Bigtree, is AWOL; and that leaves Ava, a resourceful but terrified thirteen, to manage ninety-eight gators and the vast, inscrutable landscape of her own grief.Against a backdrop of hauntingly fecund plant life animated by ancient lizards and lawless hungers, Karen Russell has written an utterly singular novel about a family’s struggle to stay afloat in a world that is inexorably sinking. An arrestingly beautiful and inventive work from a vibrant new voice in fiction.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,fiction
The Paris Wife,Paula McLain,3.82,Historical Fiction,"Chicago, 1920: Hadley Richardson is a quiet twenty-eight-year-old who has all but given up on love and happiness—until she meets Ernest Hemingway and her life changes forever. Following a whirlwind courtship and wedding, the pair set sail for Paris, where they become the golden couple in a lively and volatile group—the fabled “Lost Generation”—that includes Gertrude Stein, Ezra Pound, and F. Scott and Zelda Fitzgerald.Though deeply in love, the Hemingways are ill prepared for the hard-drinking and fast-living life of Jazz Age Paris, which hardly values traditional notions of family and monogamy. Surrounded by beautiful women and competing egos, Ernest struggles to find the voice that will earn him a place in history, pouring all the richness and intensity of his life with Hadley and their circle of friends into the novel that will become The Sun Also Rises. Hadley, meanwhile, strives to hold on to her sense of self as the demands of life with Ernest grow costly and her roles as wife, friend, and muse become more challenging. Despite their extraordinary bond, they eventually find themselves facing the ultimate crisis of their marriage—a deception that will lead to the unraveling of everything they’ve fought so hard for.A heartbreaking portrayal of love and torn loyalty, The Paris Wife is all the more poignant because we know that, in the end, Hemingway wrote that he would rather have died than fallen in love with anyone but Hadley.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,historical-fiction
The Dovekeepers,Alice Hoffman,4.06,Historical Fiction,"Over five years in the writing, The Dovekeepers is Alice Hoffman's most ambitious and mesmerizing novel, a tour de force of imagination and research, set in ancient Israel.In 70 C.E., nine hundred Jews held out for months against armies of Romans on Masada, a mountain in the Judean desert. According to the ancient historian Josephus, two women and five children survived. Based on this tragic and iconic event, Hoffman's novel is a spellbinding tale of four extraordinarily bold, resourceful, and sensuous women, each of whom has come to Masada by a different path. Yael's mother died in childbirth, and her father, an expert assassin, never forgave her for that death. Revka, a village baker's wife, watched the horrifically brutal murder of her daughter by Roman soldiers; she brings to Masada her young grandsons, rendered mute by what they have witnessed. Aziza is a warrior's daughter, raised as a boy, a fearless rider and an expert marksman who finds passion with a fellow soldier. Shirah, born in Alexandria, is wise in the ways of ancient magic and medicine, a woman with uncanny insight and power.The lives of these four complex and fiercely independent women intersect in the desperate days of the siege. All are dovekeepers, and all are also keeping secrets - about who they are, where they come from, who fathered them, and whom they love.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,historical-fiction
The Sisters Brothers,Patrick deWitt,3.85,Fiction,"Hermann Kermit Warm is going to die. The enigmatic and powerful man known only as the Commodore has ordered it, and his henchmen, Eli and Charlie Sisters, will make sure of it. Though Eli doesn't share his brother's appetite for whiskey and killing, he's never known anything else. But their prey isn't an easy mark, and on the road from Oregon City to Warm's gold-mining claim outside Sacramento, Eli begins to question what he does for a living - and whom he does it for.WithThe Sisters Brothers, Patrick deWitt pays homage to the classic Western, transforming it into an unforgettable comic tour de force. Filled with a remarkable cast of characters - losers, cheaters, and ne'er-do-wells from all stripes of life - and told by a complex and compelling narrator, it is a violent, lustful odyssey through the underworld of the 1850s frontier that beautifully captures the humor, melancholy, and grit of the Old West, and two brothers bound by blood, violence, and love.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,historical-fiction
Dreams of Joy,Lisa See,4.10,Historical Fiction,"In her most powerful novel yet, acclaimed author Lisa See returns to the story of sisters Pearl and May from Shanghai Girls, and Pearl’s strong-willed nineteen-year-old daughter, Joy. Reeling from newly uncovered family secrets, Joy runs away to Shanghai in early 1957 to find her birth father—the artist Z.G. Li, with whom both May and Pearl were once in love. Dazzled by him, and blinded by idealism and defiance, Joy throws herself into the New Society of Red China, heedless of the dangers in the Communist regime. Devastated by Joy’s flight and terrified for her safety, Pearl is determined to save her daughter, no matter the personal cost. From the crowded city to remote villages, Pearl confronts old demons and almost insurmountable challenges as she follows Joy, hoping for reconciliation. Yet even as Joy’s and Pearl’s separate journeys converge, one of the most tragic episodes in China’s history threatens their very lives.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,historical-fiction
The Second Duchess,Elizabeth Loupas,3.91,Historical Fiction,"A rich, compelling historical novel—and a mystery of royal intrigue.In a city-state known for magnificence, where love affairs and conspiracies play out amidst brilliant painters, poets and musicians, the powerful and ambitious Alfonso d'Este, duke of Ferrara, takes a new bride. Half of Europe is certain he murdered his first wife, Lucrezia, the luminous child of the Medici. But no one dares accuse him, and no one has proof-least of all his second duchess, the far less beautiful but delightfully clever Barbara of Austria.At first determined to ignore the rumors about her new husband, Barbara embraces the pleasures of the Ferrarese court. Yet wherever she turns she hears whispers of the first duchess's wayward life and mysterious death. Barbara asks questions—a dangerous mistake for a duchess of Ferrara. Suddenly, to save her own life, Barbara has no choice but to risk the duke's terrifying displeasure and discover the truth of Lucrezia's death—or she will share her fate.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,historical-fiction
Caleb's Crossing,Geraldine Brooks,3.85,Historical Fiction,"A richly imagined new novel from the author of theNew York Timesbestseller,People of the Book.Once again, Geraldine Brooks takes a remarkable shard of history and brings it to vivid life. In 1665, a young man from Martha's Vineyard became the first Native American to graduate from Harvard College. Upon this slender factual scaffold, Brooks has created a luminous tale of love and faith, magic and adventure.The narrator ofCaleb's Crossingis Bethia Mayfield, growing up in the tiny settlement of Great Harbor amid a small band of pioneers and Puritans. Restless and curious, she yearns after an education that is closed to her by her sex. As often as she can, she slips away to explore the island's glistening beaches and observe its native Wampanoag inhabitants. At twelve, she encounters Caleb, the young son of a chieftain, and the two forge a tentative secret friendship that draws each into the alien world of the other. Bethia's minister father tries to convert the Wampanoag, awakening the wrath of the tribe's shaman, against whose magic he must test his own beliefs. One of his projects becomes the education of Caleb, and a year later, Caleb is in Cambridge, studying Latin and Greek among the colonial elite. There, Bethia finds herself reluctantly indentured as a housekeeper and can closely observe Caleb's crossing of cultures.Like Brooks's beloved narrator Anna inYear of Wonders, Bethia proves an emotionally irresistible guide to the wilds of Martha's Vineyard and the intimate spaces of the human heart. Evocative and utterly absorbing,Caleb's Crossingfurther establishes Brooks's place as one of our most acclaimed novelists.Watch a Video",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,historical-fiction
Rules of Civility,Amor Towles,4.08,Fiction,"This sophisticated and entertaining first novel presents the story of a young woman whose life is on the brink of transformation. On the last night of 1937, twenty-five-year-old Katey Kontent is in a second-rate Greenwich Village jazz bar when Tinker Grey, a handsome banker, happens to sit down at the neighboring table. This chance encounter and its startling consequences propel Katey on a year-long journey into the upper echelons of New York society—where she will have little to rely upon other than a bracing wit and her own brand of cool nerve. With its sparkling depiction of New York’s social strata, its intricate imagery and themes, and its immensely appealing characters, Rules of Civility won the hearts of readers and critics alike.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,historical-fiction
Only Time Will Tell,Jeffrey Archer,4.10,Fiction,"From the internationally bestselling author ofKane and AbelandA Prisoner of BirthcomesOnly Time Will Tell, the first in an ambitious new series that tells the story of one family across generations, across oceans, from heartbreak to triumph.The epic tale of Harry Clifton’s life begins in 1920, with the words “I was told that my father was killed in the war.” A dock worker in Bristol, Harry never knew his father, but he learns about life on the docks from his uncle, who expects Harry to join him at the shipyard once he’s left school. But then an unexpected gift wins him a scholarship to an exclusive boys’ school, and his life will never be the same again.As he enters into adulthood, Harry finally learns how his father really died, but the awful truth only leads him to question, was he even his father? Is he the son of Arthur Clifton, a stevedore who spent his whole life on the docks, or the firstborn son of a scion of West Country society, whose family owns a shipping line?This introductory novel in Archer’s ambitious series The Clifton Chronicles includes a cast of colorful characters and takes us from the ravages of the Great War to the outbreak of the Second World War, when Harry must decide whether to take up a place at Oxford or join the navy and go to war with Hitler’s Germany. From the docks of working-class England to the bustling streets of 1940 New York City,Only Time Will Telltakes readers on a journey through to future volumes, which will bring to life one hundred years of recent history to reveal a family story that neither the reader nor Harry Clifton himself could ever have imagined.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,historical-fiction
The Lady of the Rivers,Philippa Gregory,4.04,Historical Fiction,"Jacquetta, daughter of the Count of Luxembourg and kinswoman to half the royalty of Europe, was married to the great Englishman John, Duke of Bedford, uncle to Henry VI. Widowed at the age of 19, she took the extraordinary risk of marrying a gentleman of her household for love, and then carved out a new life for herself.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,historical-fiction
Letters from Home,Kristina McMorris,3.91,Historical Fiction,"A Goodreads Choice Awards Semifinalist for Best Historical Fiction byNew York TimesandUSA Todaybestselling author Kristina McMorrisInspired by her grandparents’ WWII courtship letters, New York Times bestselling author Kristina McMorris delivers a moving tale of friendship, family, and the twists of fate that change us forever…It’s 1944, and although foreign battles are escalating, the war seems distant in every way to sensible college student Liz Stephens. That is, until her chance encounter with charming infantryman Morgan McClain at a USO dance in Chicago. Their deep connection feels mutual to Liz, but to her dismay, her bombshell roommate Betty is the one who promises to write the deploying soldier.Singer Betty Cordell delights in the prospect of a dashing serviceman filling her life with adventure, marital bliss, and societal circles outranking her modest roots. It only makes sense for her to beg Liz for help penning an eloquent letter to Morgan, now bound for a dangerous front. After all, she’s certain the beauty of Liz’s ghostwritten prose would ensure a courtship as enviable as their roommate Julia’s relationship with her beloved sailor—and Betty is right, though not how she foresees.Likewise, Julia Renard’s betrothal is more complicated than it appears. When tempting opportunities arise, the future she always envisioned as a devoted wife and mother risks derailment. And yet, as the Allies edge toward victory, every person—through heart-wrenching choices and life-altering letters—will discover within themselves profound courage, bittersweet hope, and the true meaning of home.******************************************""A gripping and memorable story,Letters from Homeis a timeless lesson in love and loss and the moments that shape our lives.""—Pam Jenoff,New York Timesbestselling author ofThe Lost Girls of Paris",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,historical-fiction
The Autobiography of Mrs. Tom Thumb,Melanie Benjamin,3.71,Historical Fiction,"In her national bestsellerAlice I Have Been, Melanie Benjamin imagined the life of the woman who inspiredAlice in Wonderland. Now, in this jubilant new novel, Benjamin shines a dazzling spotlight on another fascinating female figure whose story has never fully been told: a woman who became a nineteenth century icon and inspiration - and whose most daunting limitation became her greatest strength.""Never would I allow my size to define me. Instead, I would define it.""She was only two-foot eight-inches tall, but her legend reaches out to us more than a century later. As a child, Mercy Lavinia ""Vinnie"" Bump was encouraged to live a life hidden away from the public. Instead, she reached out to the immortal impresario P. T. Barnum, married the tiny superstar General Tom Thumb in the wedding of the century, and transformed into the world's most unexpected celebrity.Here, in Vinnie's singular and spirited voice, is her amazing adventure - from a showboat ""freak"" revue where she endured jeering mobs to her fateful meeting with the two men who would change her life: P. T. Barnum and Charles Stratton, AKA Tom Thumb. Their wedding would captivate the nation, preempt coverage of the Civil War, and usher them into the White House and the company of presidents and queens. But Vinnie's fame would also endanger the person she prized most: her similarly-sized sister, Minnie, a gentle soul unable to escape the glare of Vinnie's spotlight.A barnstorming novel of the Gilded Age, and of a woman's public triumphs and personal tragedies,The Autobiography of Mrs. Tom Thumbis the irresistible epic of a heroine who conquered the country with a heart as big as her dreams - and whose story will surely win over yours.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,historical-fiction
